,Plot_Number,Rice_Cultivar,Experiment_Name,Nitrogen_Rate,Replicate,Yield,Heading_100,Date,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
0,33762,Tiara,Tiara,75,1,5.922051466,71,06-14-2021,0.61672693,-3.329815,4.949409,7.478615,2.2929485,-3.042734,-4.3183064,-4.3089194,-1.4490606,5.561991,-3.9938886,1.0687584,-3.10186,140,211,-46
1,33763,Sierra,Tiara,75,1,8.331021553,83,06-14-2021,0.6501111,-3.0786896,4.693725,7.0360875,2.1389525,-2.8953125,-4.0134606,-4.0759034,-1.2346671,5.238409,-3.7099786,0.94985235,-2.862082,140,223,-58
2,33764,Scarlett,Tiara,75,1,10.56505453,79,06-14-2021,0.66562825,-3.0614018,4.68957,7.0011435,2.1501203,-2.9046059,-4.006132,-4.061786,-1.2192117,5.2135944,-3.6667917,0.932813,-2.8578506,140,219,-54
3,33765,Tiara,Tiara,75,1,6.693495458,70,06-14-2021,0.881427,-3.3278286,5.314065,7.861276,2.5192308,-3.33261,-4.5561852,-4.5009446,-1.2952083,5.775887,-3.8687599,0.93267715,-3.2212439,140,210,-45
4,33767,Scarlett,Tiara,75,1,11.17303269,79,06-14-2021,0.5923236,-2.831526,4.317868,6.4454107,1.930184,-2.6615674,-3.641015,-3.7679143,-1.0872948,4.8252096,-3.4369357,0.8684628,-2.5964134,140,219,-54
5,33768,Sierra,Tiara,75,1,9.526903133,84,06-14-2021,0.6603318,-3.5068784,5.2293463,7.904551,2.4514472,-3.2158272,-4.600729,-4.529265,-1.5576625,5.8585176,-4.1818686,1.1203719,-3.3003519,140,224,-59
6,33769,IAC600,Tiara,75,2,5.514820808,66,06-14-2021,0.8297181,-3.265373,5.1594243,7.6555505,2.4344964,-3.2274718,-4.432275,-4.3884015,-1.2880048,5.6355886,-3.814524,0.9305392,-3.1404505,140,206,-41
7,33770,Sierra,Tiara,75,2,8.606332421,84,06-14-2021,0.7263154,-3.5236647,5.3345804,8.029775,2.5196836,-3.3000727,-4.6723986,-4.5904536,-1.5327994,5.929457,-4.15891,1.0966522,-3.345223,140,224,-59
8,33771,IAC600,Tiara,75,2,6.240379656,65,06-14-2021,0.7230943,-3.2114828,4.9524236,7.39667,2.2954059,-3.0712435,-4.2494016,-4.269028,-1.288783,5.4866977,-3.831773,0.9708969,-3.024128,140,205,-40
9,33772,Scarlett,Tiara,75,2,11.62041285,78,06-14-2021,0.6269404,-2.8365405,4.357942,6.4860663,1.9517798,-2.694804,-3.658562,-3.801657,-1.0638481,4.8607435,-3.451315,0.8564199,-2.606277,140,218,-53
10,33774,Sierra,Tiara,75,2,8.356831947,84,06-14-2021,0.66860396,-3.5265968,5.279763,7.9997487,2.4762037,-3.2420237,-4.646868,-4.5647244,-1.566845,5.9143744,-4.2102776,1.1222824,-3.3263164,140,224,-59
11,33776,Scarlett,Tiara,75,2,11.21318219,79,06-14-2021,0.65404946,-2.95715,4.557065,6.8175764,2.054625,-2.8104296,-3.8641765,-3.9521234,-1.1422975,5.0765452,-3.584693,0.9022373,-2.741994,140,219,-54
12,33777,Tiara,Tiara,75,3,6.613196455,70,06-14-2021,0.72719306,-3.152266,4.8934608,7.305296,2.2577317,-3.032611,-4.1866684,-4.2092805,-1.2476481,5.4112773,-3.761935,0.9426229,-2.971117,140,210,-45
13,33779,IAC600,Tiara,75,3,6.30347173,66,06-14-2021,0.676997,-3.128854,4.7978296,7.180887,2.1985328,-2.9649777,-4.108445,-4.151385,-1.2553966,5.3372583,-3.7579746,0.95865464,-2.9251668,140,206,-41
14,33781,Tiara,Tiara,75,3,6.168684118,71,06-14-2021,0.6553028,-2.926774,4.525308,6.7633743,2.0483916,-2.7957788,-3.8370502,-3.9162903,-1.1289372,5.030673,-3.5325372,0.882191,-2.7238739,140,211,-46
15,33783,IAC600,Tiara,75,3,5.334148051,67,06-14-2021,0.7223074,-3.0757241,4.79242,7.1321764,2.2105331,-2.976821,-4.0862246,-4.11854,-1.2020187,5.287129,-3.6576495,0.9117093,-2.901141,140,207,-42
16,33785,Tiara,Tiara,150,1,7.115065223,75,06-14-2021,0.62072694,-3.3954587,5.0584836,7.6657257,2.3382502,-3.0964823,-4.4212914,-4.3959813,-1.4851012,5.6894546,-4.089707,1.1000648,-3.1688108,140,215,-50
17,33786,IAC600,Tiara,150,1,6.274793514,67,06-14-2021,0.6688098,-3.0212502,4.6532083,6.9525733,2.1168866,-2.8763149,-3.956595,-4.029348,-1.1799587,5.1742973,-3.63887,0.9120378,-2.8132498,140,207,-42
18,33787,Sierra,Tiara,150,1,8.084388902,88,06-14-2021,0.72633314,-3.5176294,5.3253307,8.011287,2.5133564,-3.2968192,-4.6631002,-4.5845933,-1.5243987,5.918911,-4.1519094,1.091005,-3.3377028,140,228,-63
19,33788,IAC600,Tiara,150,1,6.363695982,69,06-14-2021,0.9080966,-3.3425717,5.363157,7.915374,2.5430279,-3.368682,-4.584684,-4.5402193,-1.2824488,5.819448,-3.8925152,0.92426777,-3.2397196,140,209,-44
20,33791,Sierra,Tiara,150,1,8.758326962,88,06-14-2021,0.77736795,-3.5668273,5.444568,8.172644,2.5940115,-3.385753,-4.771027,-4.6675906,-1.540191,6.022781,-4.1842093,1.0856752,-3.4120815,140,228,-63
21,33792,Tiara,Tiara,150,1,6.854093464,74,06-14-2021,0.64120954,-2.9996629,4.585503,6.860657,2.0889304,-2.833758,-3.9122934,-3.9751344,-1.1950971,5.105219,-3.6029181,0.91329473,-2.7898722,140,214,-49
22,33793,Scarlett,Tiara,150,2,12.30869002,83,06-14-2021,0.59212667,-2.7953002,4.2726374,6.3837366,1.9015851,-2.6318898,-3.5979414,-3.7307804,-1.0635303,4.779325,-3.4066362,0.85645,-2.5608873,140,223,-58
23,33796,Sierra,Tiara,150,2,8.540372525,88,06-14-2021,0.9285825,-3.4070492,5.4631867,8.071688,2.6039617,-3.4346004,-4.691683,-4.6143107,-1.3257201,5.919101,-3.935932,0.94379175,-3.315303,140,228,-63
24,33797,Sierra,Tiara,150,2,8.537504704,88,06-14-2021,0.8852212,-3.2817662,5.2767634,7.783294,2.4844341,-3.3033357,-4.5010085,-4.462,-1.2528377,5.7251854,-3.8188863,0.92087126,-3.1736987,140,228,-63
25,33800,Scarlett,Tiara,150,2,13.57339932,84,06-14-2021,0.6315221,-3.5988874,5.2887754,8.022571,2.4862971,-3.247943,-4.674994,-4.6069064,-1.6376698,5.961289,-4.3099127,1.174421,-3.3732283,140,224,-59
26,33801,IAC600,Tiara,150,3,7.96967604,68,06-14-2021,0.9684449,-3.3941133,5.502162,8.112824,2.628839,-3.4659157,-4.7118917,-4.628635,-1.2950652,5.9400177,-3.91772,0.9143746,-3.3179746,140,208,-43
27,33802,Scarlett,Tiara,150,3,13.56766367,82,06-14-2021,0.60364634,-3.5685916,5.2527957,8.0003605,2.4457495,-3.203376,-4.638118,-4.5709915,-1.6235067,5.9321194,-4.3040137,1.1788485,-3.334441,140,222,-57
28,33803,Tiara,Tiara,150,3,5.05023372,74,06-14-2021,0.7320087,-3.2416193,4.9914207,7.4617453,2.3321958,-3.1030319,-4.3036723,-4.294904,-1.3226227,5.5235815,-3.8431323,0.9698734,-3.0698562,140,214,-49
29,33804,Tiara,Tiara,150,3,7.966808219,74,06-14-2021,0.6763396,-3.27307,4.9663467,7.468435,2.301975,-3.0641012,-4.3004723,-4.296659,-1.3714532,5.539463,-3.9193027,1.0194452,-3.070924,140,214,-49
30,33807,IAC600,Tiara,150,3,5.824545534,68,06-14-2021,0.6505788,-2.9149172,4.4963937,6.717789,2.029983,-2.7792044,-3.802962,-3.9019642,-1.116303,5.007089,-3.5324225,0.8775532,-2.7020526,140,208,-43
31,33808,Scarlett,Tiara,150,3,12.24559795,84,06-14-2021,0.60318017,-2.7982154,4.3036585,6.438668,1.8987811,-2.640657,-3.601835,-3.7599003,-1.0404195,4.8200297,-3.447753,0.8559164,-2.5547183,140,224,-59
32,33809,Sierra,Tiara,200,1,7.955336933,88,06-14-2021,0.75723475,-3.4036005,5.2380447,7.8422213,2.46016,-3.246453,-4.540527,-4.4948077,-1.4190995,5.794755,-4.0355945,1.0212741,-3.2363884,140,228,-63
33,33812,Sierra,Tiara,200,1,7.158082546,88,06-14-2021,0.6263542,-3.569597,5.2821755,8.036455,2.4687767,-3.2291636,-4.667766,-4.582828,-1.6179514,5.9480963,-4.280794,1.1601579,-3.3486993,140,228,-63
34,33818,Scarlett,Tiara,200,2,12.52090881,86,06-14-2021,0.6220846,-2.87106,4.38916,6.562478,1.9722358,-2.7158976,-3.7132676,-3.8259747,-1.1007233,4.900126,-3.4685524,0.8780069,-2.6460254,140,226,-61
35,33819,Scarlett,Tiara,200,2,13.5848706,86,06-14-2021,0.60491437,-3.5876272,5.2604575,8.004394,2.4558666,-3.2148986,-4.649478,-4.587621,-1.6333307,5.9471745,-4.324807,1.1829377,-3.3470995,140,226,-61
36,33820,Tiara,Tiara,200,2,7.031898399,76,06-14-2021,0.87496597,-3.3535452,5.3185825,7.877206,2.528298,-3.3331728,-4.5726624,-4.5133624,-1.3227552,5.7970066,-3.9091558,0.9382642,-3.2394097,140,216,-51
37,33821,IAC600,Tiara,200,2,6.269057871,68,06-14-2021,0.6960506,-3.598209,5.3820467,8.13835,2.547693,-3.3224714,-4.748898,-4.64679,-1.6071237,6.0130563,-4.2577105,1.1413466,-3.408,140,208,-43
38,33822,IAC600,Tiara,200,2,6.091252936,70,06-14-2021,0.9430624,-3.3918684,5.474976,8.082771,2.608034,-3.4405534,-4.6870303,-4.6147947,-1.3015827,5.9218764,-3.9286344,0.93020666,-3.3050287,140,210,-45
39,33824,Tiara,Tiara,200,2,7.393243912,74,06-14-2021,0.89245534,-3.3402722,5.334597,7.891848,2.5359619,-3.3493164,-4.581517,-4.515479,-1.3055861,5.794602,-3.8723922,0.9322626,-3.2417524,140,214,-49
40,33825,Sierra,Tiara,200,3,8.090124545,86,06-14-2021,0.8731554,-3.311875,5.276636,7.808441,2.4909666,-3.3043435,-4.5162783,-4.4777527,-1.2838836,5.7454877,-3.8674839,0.93011034,-3.1934137,140,226,-61
41,33826,IAC600,Tiara,200,3,6.971674147,67,06-14-2021,0.7902765,-3.3663962,5.2270393,7.7940717,2.4634626,-3.2564793,-4.524407,-4.4677477,-1.3799771,5.7477374,-3.9471338,0.99612623,-3.2180867,140,207,-42
42,33827,Sierra,Tiara,200,3,8.614935885,87,06-14-2021,0.8669383,-3.3376687,5.301358,7.848746,2.5014448,-3.3168354,-4.5422153,-4.5038157,-1.3026644,5.780476,-3.9034078,0.943442,-3.214561,140,227,-62
43,33828,Scarlett,Tiara,200,3,12.72165632,84,06-14-2021,0.6311894,-2.9507194,4.525203,6.780806,2.0441446,-2.7919726,-3.856119,-3.924118,-1.1612948,5.041711,-3.5501328,0.9083195,-2.7401073,140,224,-59
44,33829,Scarlett,Tiara,200,3,12.89659343,84,06-14-2021,0.6433701,-2.9742174,4.5657983,6.8292236,2.0703168,-2.818106,-3.8786077,-3.959939,-1.1653343,5.086607,-3.592258,0.9081889,-2.7623093,140,224,-59
45,33830,Tiara,Tiara,200,3,6.854093464,74,06-14-2021,0.72663003,-3.3258579,5.096398,7.6337543,2.3861175,-3.1613555,-4.41682,-4.3841376,-1.3857974,5.646738,-3.938984,1.0145171,-3.1512861,140,214,-49
46,33831,Tiara,Tiara,200,3,7.246985014,74,06-14-2021,0.77043396,-3.0858305,4.878732,7.242412,2.255864,-3.0364418,-4.1487513,-4.1652074,-1.1819935,5.348738,-3.6478686,0.8957234,-2.930305,140,214,-49
47,33832,IAC600,Tiara,200,3,6.627535563,67,06-14-2021,0.6755615,-3.0164278,4.6673803,6.976028,2.115758,-2.8783214,-3.9606278,-4.0357604,-1.1692846,5.1893425,-3.6482673,0.91283077,-2.8092046,140,207,-42
48,35149,Carolina Gold,Santee_Gold,75,1,5.993747004,88,06-14-2021,0.67321754,-3.0929418,4.7421823,7.086511,2.1767583,-2.933526,-4.055328,-4.1034946,-1.2369336,5.271227,-3.7092664,0.9438215,-2.8908384,140,228,-63
49,35151,RoyJ,Santee_Gold,75,1,14.23013045,85,06-14-2021,0.71829915,-3.2540655,5.0019317,7.484496,2.3298666,-3.1007178,-4.3161983,-4.3041983,-1.3354968,5.541175,-3.8648775,0.98061997,-3.0765855,140,225,-60
50,35153,Carolina Gold,Santee_Gold,75,1,6.297736087,88,06-14-2021,0.66939735,-3.1270788,4.7839146,7.1542397,2.1968443,-2.9578886,-4.1014376,-4.1409116,-1.261281,5.3194633,-3.7402997,0.96270514,-2.9248028,140,228,-63
51,35155,RoyJ,Santee_Gold,75,1,14.62588982,82,06-14-2021,0.86100405,-3.2404563,5.185337,7.653835,2.4424784,-3.2508,-4.4202027,-4.3958735,-1.2358215,5.634675,-3.7765877,0.90615416,-3.122335,140,222,-57
52,35156,Carolina Gold,Santee_Gold,75,2,6.727909317,89,06-14-2021,0.6637716,-3.3591914,5.061989,7.6174974,2.3528626,-3.1148195,-4.402569,-4.3819723,-1.4372344,5.6547804,-4.017667,1.0633982,-3.150696,140,229,-64
53,35157,Charleston Gold,Santee_Gold,75,2,12.33736824,83,06-14-2021,0.70324814,-3.4603925,5.234852,7.87343,2.4593494,-3.2330353,-4.575496,-4.51298,-1.4951397,5.826961,-4.104943,1.0801642,-3.2735314,140,223,-58
54,35158,Carolina Gold,Santee_Gold,75,2,5.259584692,88,06-14-2021,0.6837349,-3.0097945,4.6624823,6.9536595,2.1145856,-2.8793657,-3.9512851,-4.0331364,-1.1565994,5.175678,-3.631989,0.908693,-2.803831,140,228,-63
55,35159,RoyJ,Santee_Gold,75,2,13.67664089,85,06-14-2021,0.6434234,-3.5549242,5.270828,7.9951506,2.4707067,-3.232133,-4.6481676,-4.573522,-1.5987617,5.92547,-4.2581706,1.149012,-3.3386598,140,225,-60
56,35160,Santee Gold,Santee_Gold,75,2,10.64535353,90,06-14-2021,0.69677955,-3.158317,4.862348,7.2763505,2.2400076,-3.0055463,-4.1668305,-4.194132,-1.2699987,5.3964543,-3.7859924,0.9598939,-2.965576,140,230,-65
57,35161,RoyJ,Santee_Gold,75,2,13.06005926,83,06-14-2021,0.6948241,-3.2908237,5.0146685,7.525345,2.3329794,-3.0992906,-4.3448935,-4.32591,-1.3758825,5.5741215,-3.911387,1.0088528,-3.1021762,140,223,-58
58,35162,Santee Gold,Santee_Gold,75,2,10.12341001,90,06-14-2021,0.64273256,-3.3971088,5.0778713,7.678936,2.3579512,-3.1165688,-4.438934,-4.4080486,-1.4804244,5.700149,-4.080087,1.0849582,-3.180591,140,230,-65
59,35163,Charleston Gold,Santee_Gold,75,2,11.7064475,82,06-14-2021,0.68386114,-3.255424,4.960537,7.443247,2.2993138,-3.0644352,-4.288631,-4.284954,-1.3513167,5.5199966,-3.8873668,1.0049871,-3.0598044,140,222,-57
60,35166,Charleston Gold,Santee_Gold,75,3,11.95308015,82,06-14-2021,0.6131404,-2.8422906,4.364361,6.526229,1.95739,-2.6931558,-3.6917534,-3.793815,-1.0921458,4.867008,-3.441739,0.8607362,-2.6247096,140,222,-57
61,35167,Santee Gold,Santee_Gold,75,3,11.02964162,90,06-14-2021,0.60312736,-2.8470478,4.363527,6.531273,1.9491799,-2.6857316,-3.6944184,-3.7965567,-1.1007737,4.8723583,-3.4528968,0.87572366,-2.6256816,140,230,-65
62,35169,Charleston Gold,Santee_Gold,75,3,11.4139297,82,06-14-2021,0.63221514,-2.9244688,4.4909506,6.71903,2.0359676,-2.7751534,-3.8208947,-3.8931406,-1.1452708,4.9994125,-3.5182104,0.8863277,-2.7180614,140,222,-57
63,35170,Santee Gold,Santee_Gold,75,3,11.20744655,90,06-14-2021,0.6674808,-3.0310502,4.6674786,6.9730153,2.1215057,-2.8831182,-3.967069,-4.0421324,-1.1852984,5.19034,-3.6553326,0.9259362,-2.819462,140,230,-65
64,35172,Carolina Gold,Santee_Gold,150,1,4.574175345,89,06-14-2021,0.60729283,-2.8419578,4.3517137,6.526498,1.9425821,-2.6769025,-3.6810908,-3.792773,-1.089883,4.8693347,-3.4620664,0.87274456,-2.6152344,140,229,-64
65,35173,Charleston Gold,Santee_Gold,150,1,9.524035311,87,06-14-2021,0.70678246,-3.5460951,5.333797,8.038534,2.5167227,-3.2958002,-4.6798935,-4.6030526,-1.5553371,5.946788,-4.201839,1.1111753,-3.3542757,140,227,-62
66,35174,RoyJ,Santee_Gold,150,1,16.79683072,90,06-14-2021,0.9460975,-3.4460218,5.5328307,8.174294,2.6520123,-3.4827332,-4.7689605,-4.6595654,-1.3567934,5.983518,-3.9555302,0.9476958,-3.3699872,140,230,-65
67,35175,Carolina Gold,Santee_Gold,150,1,6.415316769,89,06-14-2021,0.6278104,-2.933981,4.4947767,6.722458,2.0302496,-2.770957,-3.8216074,-3.9018004,-1.1491017,5.010486,-3.5353844,0.89779437,-2.718421,140,229,-64
68,35176,Santee Gold,Santee_Gold,150,1,10.44460602,92,06-14-2021,0.6327852,-3.4742062,5.166602,7.826752,2.4033098,-3.1681898,-4.5339065,-4.4842434,-1.5388799,5.8042355,-4.1585155,1.1191918,-3.252583,140,232,-67
69,35177,Charleston Gold,Santee_Gold,150,1,9.231517515,86,06-14-2021,0.63209313,-3.56651,5.2744436,8.010896,2.4578247,-3.2258263,-4.6506586,-4.58619,-1.6054097,5.9425154,-4.284804,1.157355,-3.3387861,140,226,-61
70,35178,RoyJ,Santee_Gold,150,1,17.85218904,89,06-14-2021,0.86770666,-3.2720861,5.2231674,7.7119026,2.4641109,-3.2737293,-4.4572787,-4.432773,-1.2550966,5.6826634,-3.8222053,0.91111654,-3.1517215,140,229,-64
