,Plot_Number,Rice_Cultivar,Experiment_Name,Nitrogen_Rate,Replicate,Yield,Heading_100,Date,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
22,33783,IAC600,Tiara,75,3,5.334148051,67,06-14-2021,0.27367356,1.6509619,-6.044221,7.921815,5.4089108,0.44812107,-6.4699273,0.6249736,0.38327917,3.2278254,-0.66516477,0.31758034,6.1508102,140,207,-42
23,33784,Scarlett,Tiara,75,3,10.73999164,79,06-14-2021,0.39068288,1.5768669,-5.4002023,7.3687425,5.2425237,0.41620505,-5.9011374,0.45899826,0.39450562,3.1746325,-0.53677344,0.34796545,5.7227077,140,219,-54
24,33785,Tiara,Tiara,150,1,7.115065223,75,06-14-2021,0.3446401,1.9493321,-6.6287403,8.711428,6.0420346,0.38965595,-6.7574663,0.59232897,0.5718311,3.3856037,-0.50334084,0.3618811,6.5201435,140,215,-50
25,33786,IAC600,Tiara,150,1,6.274793514,67,06-14-2021,0.35213393,1.6961156,-5.857595,7.8410172,5.489243,0.42951894,-6.2578607,0.5288812,0.42221993,3.2553082,-0.54981947,0.34770986,6.033349,140,207,-42
26,33787,Sierra,Tiara,150,1,8.084388902,88,06-14-2021,0.28813782,2.017076,-7.026699,9.094277,6.1886935,0.39568245,-7.084977,0.68096304,0.57800436,3.4314373,-0.5451827,0.35078973,6.779683,140,228,-63
27,33788,IAC600,Tiara,150,1,6.363695982,69,06-14-2021,0.17200951,1.843635,-6.911536,8.779576,5.830381,0.45844105,-7.1381507,0.7740041,0.45181346,3.3257153,-0.7211626,0.30507562,6.7090135,140,209,-44
28,33789,Scarlett,Tiara,150,1,11.50569999,86,06-14-2021,0.35935637,1.8465889,-6.1195874,8.194519,5.7892838,0.4126584,-6.3814726,0.5282112,0.48907578,3.3422687,-0.44746497,0.35238695,6.2010646,140,226,-61
29,33790,Scarlett,Tiara,150,1,11.44834356,84,06-14-2021,0.18790002,1.8515459,-6.824813,8.712558,5.8316402,0.47628647,-7.0814004,0.75626695,0.42834404,3.347927,-0.6891994,0.3141448,6.675032,140,224,-59
30,33791,Sierra,Tiara,150,1,8.758326962,88,06-14-2021,0.27953553,2.0054495,-7.1532607,9.205923,6.234011,0.39825404,-7.1982665,0.69683707,0.5864492,3.4329622,-0.5986123,0.33145753,6.860188,140,228,-63
31,33792,Tiara,Tiara,150,1,6.854093464,74,06-14-2021,0.36918396,1.6835045,-5.8061547,7.809184,5.499863,0.410274,-6.208376,0.5125937,0.44351843,3.2539215,-0.5559951,0.33111542,6.0029297,140,214,-49
32,33793,Scarlett,Tiara,150,2,12.30869002,83,06-14-2021,0.39686266,1.5699127,-5.274453,7.2292595,5.182404,0.44251445,-5.7949266,0.43621758,0.35985422,3.1721718,-0.49574682,0.35744214,5.6394143,140,223,-58
33,33794,Tiara,Tiara,150,2,7.642744386,72,06-14-2021,0.37033936,1.811112,-6.20374,8.2772045,5.790611,0.40259433,-6.463436,0.538631,0.50501376,3.3274024,-0.51607925,0.34817204,6.2513576,140,212,-47
34,33795,IAC600,Tiara,150,2,6.871300393,67,06-14-2021,0.34592143,1.7883956,-6.0617065,8.114461,5.6943355,0.41531613,-6.37657,0.53666455,0.4682042,3.3202434,-0.4941307,0.34477863,6.1737003,140,207,-42
35,33796,Sierra,Tiara,150,2,8.540372525,88,06-14-2021,0.17316315,1.8953091,-7.066116,8.953602,5.914093,0.47356334,-7.265654,0.7845132,0.45042172,3.3722587,-0.71727383,0.31525502,6.8141775,140,228,-63
36,33797,Sierra,Tiara,150,2,8.537504704,88,06-14-2021,0.11892338,1.7670864,-6.796595,8.577152,5.6288767,0.5302683,-7.1443825,0.8184308,0.35454434,3.3036852,-0.8000648,0.30185038,6.6650863,140,228,-63
37,33798,IAC600,Tiara,150,2,6.79100139,69,06-14-2021,0.34218803,2.0722287,-7.056402,9.19122,6.3447366,0.3801015,-7.060015,0.6264158,0.65589267,3.4577672,-0.51294863,0.3564831,6.8040185,140,209,-44
38,33799,Tiara,Tiara,150,2,7.175289476,74,06-14-2021,0.21816292,1.8498855,-6.83843,8.763243,5.875842,0.44392592,-7.0508,0.7294032,0.46955037,3.3456311,-0.67627174,0.30828908,6.661869,140,214,-49
39,33800,Scarlett,Tiara,150,2,13.57339932,84,06-14-2021,0.35654074,2.0674307,-6.9290557,9.092274,6.3206687,0.34745583,-6.9105296,0.595251,0.6527819,3.4373162,-0.4281268,0.3628611,6.6920094,140,224,-59
40,33801,IAC600,Tiara,150,3,7.96967604,68,06-14-2021,0.152374,1.8875489,-7.1761646,9.024967,5.939285,0.4738446,-7.3650346,0.81739974,0.4675122,3.35634,-0.77654886,0.30113098,6.886272,140,208,-43
41,33802,Scarlett,Tiara,150,3,13.56766367,82,06-14-2021,0.35099837,2.0534687,-6.957332,9.086601,6.2951994,0.36631152,-6.9497356,0.6056983,0.65214765,3.4265828,-0.48552495,0.36123997,6.7133965,140,222,-57
42,33803,Tiara,Tiara,150,3,5.05023372,74,06-14-2021,0.28297025,1.7480104,-6.321199,8.281009,5.663394,0.40920162,-6.63634,0.6361456,0.46246564,3.2800474,-0.62751144,0.31443995,6.329279,140,214,-49
43,33804,Tiara,Tiara,150,3,7.966808219,74,06-14-2021,0.33859977,1.824359,-6.3400774,8.382627,5.816525,0.40949684,-6.5975776,0.5784428,0.5035525,3.3335161,-0.55460393,0.34372422,6.3471456,140,214,-49
44,33805,Sierra,Tiara,150,3,8.841493786,88,06-14-2021,0.2270565,1.7589695,-6.4793534,8.383299,5.662496,0.44608176,-6.8002763,0.6969483,0.42484152,3.2991686,-0.6680226,0.30302283,6.440751,140,228,-63
45,33806,Sierra,Tiara,150,3,7.768928533,86,06-14-2021,0.29067743,1.6583537,-5.9197545,7.8379674,5.399302,0.45411104,-6.365328,0.5880733,0.37796336,3.237969,-0.60989773,0.32780886,6.0796986,140,226,-61
46,33807,IAC600,Tiara,150,3,5.824545534,68,06-14-2021,0.35397556,1.5915821,-5.5597477,7.5156302,5.2932215,0.41725323,-6.0465417,0.5101184,0.3954165,3.190602,-0.5695315,0.3250821,5.8376913,140,208,-43
47,33808,Scarlett,Tiara,150,3,12.24559795,84,06-14-2021,0.3981685,1.580539,-5.314198,7.2779856,5.207208,0.42679912,-5.8381042,0.44211474,0.39145973,3.1735811,-0.5183005,0.3557706,5.677221,140,224,-59
48,33809,Sierra,Tiara,200,1,7.955336933,88,06-14-2021,0.24926607,1.9152838,-6.8491206,8.831965,5.9848366,0.41919655,-7.010085,0.702544,0.5133238,3.3694797,-0.61090845,0.3270958,6.67033,140,228,-63
49,33810,IAC600,Tiara,200,1,6.785265747,69,06-14-2021,0.36375204,2.0556738,-6.9112787,9.064342,6.30234,0.3720823,-6.930409,0.5997616,0.64505804,3.4550824,-0.4796546,0.35611248,6.707648,140,209,-44
50,33811,Tiara,Tiara,200,1,6.707834566,77,06-14-2021,0.25860932,1.9546354,-7.0616016,9.061401,6.113074,0.41831303,-7.1788087,0.70727074,0.5427783,3.4093976,-0.63681674,0.33162302,6.8149223,140,217,-52
51,33812,Sierra,Tiara,200,1,7.158082546,88,06-14-2021,0.3521174,2.0948124,-7.06373,9.209884,6.3662887,0.38807192,-7.068722,0.6234458,0.6529627,3.4734607,-0.5052392,0.36131606,6.8154097,140,228,-63
52,33813,Tiara,Tiara,200,1,6.773794461,76,06-14-2021,0.23333387,1.8843541,-6.851503,8.785054,5.9346933,0.45691738,-7.0562954,0.72661966,0.48898196,3.3655353,-0.6842509,0.31458765,6.6908073,140,216,-51
53,33814,Scarlett,Tiara,200,1,11.47702178,86,06-14-2021,0.33452824,2.0281985,-6.9437494,9.046219,6.219119,0.38028994,-6.984203,0.6231287,0.60325325,3.430613,-0.50276244,0.36124697,6.717409,140,226,-61
54,33815,Scarlett,Tiara,200,1,11.42826881,86,06-14-2021,0.38418064,1.6449772,-5.6196423,7.6175284,5.420473,0.4294294,-6.0688567,0.47550008,0.41506988,3.2406213,-0.5310886,0.34780207,5.891085,140,226,-61
55,33816,IAC600,Tiara,200,1,5.944994038,68,06-14-2021,0.17556642,1.7259916,-6.5636644,8.375555,5.578814,0.50942576,-6.932045,0.7519683,0.37160468,3.27253,-0.76365244,0.30753165,6.503354,140,208,-43
56,33817,Sierra,Tiara,200,2,8.465809166,87,06-14-2021,0.14905365,1.8287445,-6.936454,8.782211,5.7853975,0.49370283,-7.2113857,0.80250657,0.40278935,3.3451312,-0.75354916,0.30100802,6.747459,140,227,-62
57,33818,Scarlett,Tiara,200,2,12.52090881,86,06-14-2021,0.37512574,1.617108,-5.4988184,7.4918656,5.31612,0.4216818,-5.991299,0.47817233,0.3875004,3.2186294,-0.509367,0.34503385,5.80913,140,226,-61
58,33819,Scarlett,Tiara,200,2,13.5848706,86,06-14-2021,0.37919575,2.0440938,-6.8272853,9.000823,6.3014574,0.34772313,-6.8432207,0.57336444,0.65743655,3.4477854,-0.43903667,0.3461516,6.643313,140,226,-61
59,33820,Tiara,Tiara,200,2,7.031898399,76,06-14-2021,0.17735246,1.8541418,-6.9011297,8.794853,5.867906,0.4532761,-7.112256,0.7721067,0.4568191,3.3476048,-0.703942,0.28991365,6.707594,140,216,-51
60,33821,IAC600,Tiara,200,2,6.269057871,68,06-14-2021,0.30064067,2.0409403,-7.133185,9.237195,6.3058953,0.38508418,-7.159788,0.67156714,0.6064396,3.4665523,-0.5449319,0.34711412,6.861048,140,208,-43
61,33822,IAC600,Tiara,200,2,6.091252936,70,06-14-2021,0.15651649,1.8706626,-7.107331,8.967422,5.9064865,0.45453373,-7.289267,0.8128484,0.45958453,3.3492408,-0.7450629,0.28840452,6.8261495,140,210,-45
62,33823,Sierra,Tiara,200,2,8.124538403,87,06-14-2021,0.29078797,2.031554,-7.1245184,9.202116,6.2536726,0.38597953,-7.150201,0.6768297,0.60463595,3.4400222,-0.56123704,0.34254137,6.831036,140,227,-62
63,33824,Tiara,Tiara,200,2,7.393243912,74,06-14-2021,0.19072029,1.824013,-6.876728,8.755713,5.8036857,0.4521792,-7.1311088,0.75745547,0.43733796,3.3330512,-0.72713834,0.31037712,6.6957917,140,214,-49
64,33825,Sierra,Tiara,200,3,8.090124545,86,06-14-2021,0.1569687,1.8265964,-6.820439,8.6907425,5.7652864,0.47375783,-7.0910645,0.7745701,0.41828752,3.3298244,-0.70997083,0.29931548,6.661208,140,226,-61
65,33826,IAC600,Tiara,200,3,6.971674147,67,06-14-2021,0.2482805,1.8568245,-6.740874,8.701106,5.862991,0.43361837,-6.955173,0.689411,0.4720103,3.3463101,-0.63120085,0.32768244,6.5919127,140,207,-42
66,33827,Sierra,Tiara,200,3,8.614935885,87,06-14-2021,0.16478842,1.8302038,-6.8504515,8.725643,5.801583,0.47384077,-7.104759,0.7739974,0.42304438,3.3401995,-0.7035119,0.2951621,6.6819177,140,227,-62
67,33828,Scarlett,Tiara,200,3,12.72165632,84,06-14-2021,0.3416813,1.6448236,-5.7570267,7.698308,5.369913,0.4398408,-6.2009745,0.5253776,0.39569798,3.2113655,-0.57526207,0.35400647,5.9572325,140,224,-59
68,33829,Scarlett,Tiara,200,3,12.89659343,84,06-14-2021,0.35901356,1.674777,-5.7490063,7.7386346,5.4344697,0.41674048,-6.157443,0.5061115,0.42350703,3.229988,-0.52179754,0.3479497,5.945665,140,224,-59
69,33830,Tiara,Tiara,200,3,6.854093464,74,06-14-2021,0.27389845,1.8010304,-6.5021887,8.482561,5.786788,0.4221164,-6.7676315,0.65152884,0.4695732,3.3276215,-0.6166369,0.31766838,6.4518056,140,214,-49
70,33831,Tiara,Tiara,200,3,7.246985014,74,06-14-2021,0.22973894,1.6357509,-6.1419806,7.960688,5.3539424,0.48740837,-6.597838,0.66748375,0.34450823,3.2183304,-0.73055524,0.31494465,6.216782,140,214,-49
