,Plot_Number,Rice_Cultivar,Experiment_Name,Nitrogen_Rate,Replicate,Yield,Heading_100,Date,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
22,31795,NIL 43,Inbred_Jeff + NIL,130,1,8.845429819,88,06-09-2022,-3.617224,1.0110617,1.1166588,-1.9266243,-2.3082783,3.696838,-2.7613459,-2.8645384,2.2026567,2.6890147,1.6570615,-2.9869475,2.6588976,140,228,-68
23,31797,NIL 43,Inbred_Jeff + NIL,130,1,9.539245252,88,06-09-2022,-3.5631933,0.9989981,1.0890572,-1.9050266,-2.280247,3.6489286,-2.7244253,-2.8359652,2.1751895,2.630687,1.631761,-2.935524,2.623784,140,228,-68
24,31799,NIL 43,Inbred_Jeff + NIL,130,1,8.672023758,88,06-09-2022,-3.1811295,0.79571545,1.0633727,-1.7224225,-2.0155246,3.222122,-2.4545312,-2.5696042,1.939859,2.4072669,1.5648247,-2.6233041,2.4036462,140,228,-68
25,31800,Jefferson,Inbred_Jeff + NIL,130,2,5.896953213,78,06-09-2022,-3.4957223,0.96199584,1.0891207,-1.8745097,-2.230357,3.5787723,-2.6906993,-2.7908516,2.1280694,2.60348,1.6243298,-2.8894763,2.586191,140,218,-58
26,31801,Jefferson,Inbred_Jeff + NIL,130,2,6.590768646,78,06-09-2022,-3.7681272,1.0292859,1.2422547,-1.9280306,-2.345248,3.7929218,-2.8426547,-2.8989792,2.2418582,2.899556,1.7269734,-3.1325488,2.7297678,140,218,-58
27,31803,Jefferson,Inbred_Jeff + NIL,130,2,5.898865077,78,06-09-2022,-3.3152866,0.9094197,1.0300243,-1.8397509,-2.153968,3.401265,-2.5702386,-2.7227597,2.0489192,2.4117212,1.5723,-2.7257187,2.496025,140,218,-58
28,31804,Jefferson,Inbred_Jeff + NIL,130,2,6.417171398,78,06-09-2022,-3.3978944,0.9448234,1.035882,-1.867075,-2.198613,3.4996605,-2.6355286,-2.7692332,2.0933497,2.4751353,1.5880276,-2.7950778,2.5394826,140,218,-58
29,31806,Jefferson,Inbred_Jeff + NIL,130,2,6.590768646,78,06-09-2022,-3.351347,0.8773846,1.0685989,-1.7964576,-2.1281123,3.4163296,-2.5704746,-2.6789672,2.0394022,2.5119002,1.5888804,-2.758141,2.4958715,140,218,-58
30,31810,NIL 43,Inbred_Jeff + NIL,130,3,9.886057375,90,06-09-2022,-3.5103517,1.0175732,1.0711627,-1.9364517,-2.2839963,3.6100492,-2.7230294,-2.8653975,2.168977,2.5499005,1.6272904,-2.9034832,2.619583,140,230,-70
31,31811,Jefferson,Inbred_Jeff + NIL,130,3,5.900776941,79,06-09-2022,-3.29118,0.90185183,1.0247277,-1.8266809,-2.1367998,3.3721595,-2.5516956,-2.703601,2.033047,2.396268,1.5698026,-2.7048423,2.4813483,140,219,-59
